id,name,url,cuisines,description,rating,status,phone,address,latitude,longitude,price,categories,reviewCount,page
"spark-social-sf-san-francisco","Spark Social SF","https://www.yelp.com/biz/spark-social-sf-san-francisco","","SPARK SOCIAL SF - - 601 Mission Bay Blvd N, San Francisco, CA 94158","4.5","offline","","601 Mission Bay Blvd N, San Francisco, CA, 94158","37.770778602609305","-122.39143875380388","$$","","638","1"
"poke-delish-san-francisco-5","Poke Delish","https://www.yelp.com/biz/poke-delish-san-francisco-5","poke; hawaiian","POKE DELISH - - 601 Mission Bay Blvd N, San Francisco, CA 94158","4.5","open","(415) 988-2631","601 Mission Bay Blvd N, San Francisco, CA, 94158","37.77078160245556","-122.39167220238846","$$","Poke; Hawaiian","638","1"
"koja-kitchen-sf-spark-san-francisco","KoJa Kitchen SF Spark","https://www.yelp.com/biz/koja-kitchen-sf-spark-san-francisco","korean; asian_fusion; japanese","KOJA KITCHEN SF SPARK - - 601 Mission Bay Blvd N, San Francisco, CA 94158","4.5","open","(415) 830-3944","601 Mission Bay Blvd N, San Francisco, CA, 94158","37.77076","-122.391709","$$","Korean; Asian Fusion; Japanese","638","1"
"golden-prime-et-döner-san-francisco","Golden Prime Et Döner","https://www.yelp.com/biz/golden-prime-et-d%C3%B6ner-san-francisco","turkish; kebab","GOLDEN PRIME ET DÖNER - - 151 Vermont St, San Francisco, CA 94103","5","open","(929) 641-6977","151 Vermont St, San Francisco, CA, 94103","37.76770319019772","-122.4047152026844","","Turkish; Kebab","14","1"
"rasa-rasa-san-francisco-3","Rasa Rasa","https://www.yelp.com/biz/rasa-rasa-san-francisco-3","indonesian; asian_fusion","RASA RASA - - 1379 4th St, San Francisco, CA 94158","4.5","offline","(415) 769-6389","1379 4th St, San Francisco, CA, 94158","37.77089520000001","-122.3903003","$$","Indonesian; Asian Fusion","140","1"
"aunty-vickys-san-francisco","Aunty Vickys","https://www.yelp.com/biz/aunty-vickys-san-francisco","","17 reviews and 14 photos of AUNTY VICKYS ""I came to Aunty vickys on opening day. I was invited by my girlfriend and her parents who's family friends invited us. There was a lot of people and a long wait and it was WELL worth it!!! I Had ""just da chicken & all da fixins"" it was lightly battered fried","4.8","open","(415) 350-8875","991 Tennessee St, San Francisco, CA, 94107","37.7597910889649","-122.389293044509","$$","","17","1"
"roli-roti-gourmet-rotisserie-san-francisco","Roli Roti Gourmet Rotisserie","https://www.yelp.com/biz/roli-roti-gourmet-rotisserie-san-francisco","sandwiches; specialty_food","ROLI ROTI GOURMET ROTISSERIE - - 1 Ferry Bldg, San Francisco, CA 94105","4.3","offline","(510) 780-0300","1 Ferry Bldg, San Francisco, CA, 94105","37.79490240049029","-122.392590507461","$$","Sandwiches; Specialty Food","","1"
"off-the-grid-fort-mason-center-san-francisco-3","Off the Grid Fort Mason Center","https://www.yelp.com/biz/off-the-grid-fort-mason-center-san-francisco-3","food_court","OFF THE GRID FORT MASON CENTER - - 2 Marina Blvd, Fort Mason Ctr, Bldg C362, San Francisco, CA 94123","4.2","offline","","","37.806232987070516","-122.4313023607662","","Food Court","","1"
"leos-tacos-san-francisco","Leo's Tacos","https://www.yelp.com/biz/leos-tacos-san-francisco","mexican; tacos","LEO'S TACOS - - 1234 Great Hwy, San Francisco, CA 94122","4","open","(323) 346-2001","1234 Great Hwy, San Francisco, CA, 94122","37.76309223220253","-122.5095382","","Mexican; Tacos","122","1"
"dominic-s-food-truck-south-san-francisco","Dominic’s Food Truck","https://www.yelp.com/biz/dominic-s-food-truck-south-san-francisco","","DOMINIC’S FOOD TRUCK - - South San Francisco, CA 94080","4.1","open","(650) 240-9050","South San Francisco, CA, 94080","37.775123","-122.41932","","","58","1"
"el-fuego-san-francisco-61","El Fuego","https://www.yelp.com/biz/el-fuego-san-francisco-61","mexican; sandwiches","EL FUEGO - - 101 Montgomery St, San Francisco, CA 94129","4.7","open","(415) 465-9395","101 Montgomery St, San Francisco, CA, 94129","37.800006430166725","-122.45971802626916","$$","Mexican; Sandwiches","239","1"
"smashin-good-burgers-san-francisco","Smashin' Good Burgers","https://www.yelp.com/biz/smashin-good-burgers-san-francisco","burgers","SMASHIN' GOOD BURGERS - - 77 Hagiwara Tea Garden Dr, San Francisco, CA 94118","5","offline","(415) 326-3175","77 Hagiwara Tea Garden Dr, San Francisco, CA, 94118","37.7702031","-122.4692499","","Burgers","11","1"
"señor-sisig-food-trucks-san-francisco-3","Señor Sisig - Food Trucks","https://www.yelp.com/biz/se%C3%B1or-sisig-food-trucks-san-francisco-3","filipino; mexican; tacos","SEÑOR SISIG - - San Francisco, CA 94104","","offline","","","37.25093208894291","-122.71374420378743","","Filipino; Mexican; Tacos","","1"
"the-chairman-san-francisco-4","The Chairman","https://www.yelp.com/biz/the-chairman-san-francisco-4","asian_fusion","THE CHAIRMAN - CLOSED - - 2723 Oakdale Ave, San Francisco, CA 94124","","open","","","37.7419264","-122.403654","","Asian Fusion","","1"
"spro-san-francisco-9","SPRO","https://www.yelp.com/biz/spro-san-francisco-9","coffee_and_tea; waffles","SPRO - - 601 Mission Bay Blvd N, San Francisco, CA 94158","","open","(415) 971-7908","601 Mission Bay Blvd N, San Francisco, CA, 94158","37.77089814034783","-122.39136027268194","$$","Coffee & Tea; Waffles","","1"
"cookies-n-cream-sj-san-jose","Cookies N Cream SJ","https://www.yelp.com/biz/cookies-n-cream-sj-san-jose","ice_cream_and_frozen_yogurt","COOKIES N CREAM SJ - - San Jose, CA 95112","","open","(669) 444-0553","San Jose, CA, 95112","37.3688111","-121.8967257","$","Ice Cream & Frozen Yogurt","","1"
"waffle-mania-truck-san-francisco","Waffle Mania Truck","https://www.yelp.com/biz/waffle-mania-truck-san-francisco","desserts; waffles","WAFFLE MANIA TRUCK - - 1182 Market St, Civic Center Farmer's Market, San Francisco, CA 94102","","offline","","1182 Market St
Civic Center Farmer&apos;s Market, San Francisco, CA, 94102","37.7795342481134","-122.414517402649","$","Desserts; Waffles","","1"
"shake-shack-cow-hollow-san-francisco","Shake Shack Cow Hollow","https://www.yelp.com/biz/shake-shack-cow-hollow-san-francisco","fast_food; burgers; ice_cream_and_frozen_yogurt","SHAKE SHACK COW HOLLOW - - 3060 Fillmore Street, San Francisco, CA 94123","","open","(415) 405-4618","3060 Fillmore Street, San Francisco, CA, 94123","37.7979025","-122.43536","$$","Fast Food; Burgers; Ice Cream & Frozen Yogurt","","1"
"california-kahve-san-francisco-2","California Kahve","https://www.yelp.com/biz/california-kahve-san-francisco-2","coffee_and_tea; donuts","CALIFORNIA KAHVE - - 300 Bowling Green Dr, San Francisco, CA 94122","4.4","open","(415) 254-5388","300 Bowling Green Dr, San Francisco, CA, 94122","37.7682923","-122.4582182","","Coffee & Tea; Donuts","58","2"
"love-magical-donuts-san-francisco-2","Love Magical Donuts","https://www.yelp.com/biz/love-magical-donuts-san-francisco-2","donuts","LOVE MAGICAL DONUTS - - San Francisco, CA 94102","5","open","(415) 890-5423","San Francisco, CA, 94102","37.775123","-122.41932","","Donuts","40","2"
"el-gallo-giro-taco-truck-san-francisco-4","El Gallo Giro Taco Truck","https://www.yelp.com/biz/el-gallo-giro-taco-truck-san-francisco-4","mexican; tacos","EL GALLO GIRO TACO TRUCK - - 23rd St & Treat Ave, San Francisco, CA 94110","4.7","open","(415) 240-1224","23rd St &amp; Treat Ave, San Francisco, CA, 94110","37.754186143481824","-122.4131678","$","Mexican; Tacos","288","2"
